City
Dushanbe
Khujand
Bokhtar
Kulob
Istaravshan
Tursunzoda
Konibodom
Isfara
Panjakent
Vahdat
Yovon
Buston
Norak
Danghara
Khorugh
Hisor
Farkhor
Somoniyon
Hulbuk
Moskovskiy
Ghafurov
Zafarobod
Mirzo Tursunzoda
Balkh
Dusti
Navkat
Shaydon
Guliston
Levakant
Istiqlol
Shahritus
Ghonchi
Mehrobod
Adrasmon
Buston
Vakhsh
Roghun
Sharora
Mu'minobod
Abdurahmoni Jomi
Panj
Mehnatobod
Nu'mon Roziq
Obikiik
Qubodiyon
Homid Aliev
Sovet
Fayzobod
Navobod
