City
Guayaquil
Quito
Cuenca
Santo Domingo
Machala
Durán
Manta
Portoviejo
Ibarra
Quevedo
Loja
Ambato
Esmeraldas
Riobamba
Milagro
Latacunga
La Libertad
Babahoyo
