City
Aydarken
Balykchy
Batken
Bazar-Korgon
Bishkek
Cholpon-Ata
Jalal-Abad
Kadamjay
Kant
Kara-Balta
Karakol
Kara-Köl
Kara-Suu
Kayyngdy
Kemin
Kerben
Kochkor-Ata
Kök-Janggak
Kyzyl-Kiya
Mayluu-Suu
Naryn
Nookat
Orlovka
Osh
Özgön
Razzakov
Shopokov
Sülüktü
Talas
Tash-Kömür
Tokmok
Toktogul
