Epoch,Train Loss,Eval Loss
1,1.4366266984939575,729.4364505343967
2,1.426284730911255,727.2624223497179
3,1.4225959396362304,725.9128960503472
4,1.420830389022827,725.5060780843099
5,1.420206265449524,725.0345933702257
6,1.419365584373474,724.7812008327908
7,1.418730330467224,724.7845679389106
8,1.418165822982788,724.4019317626953
9,1.4179646368026733,724.5213775634766
10,1.4175462217330932,724.3562452528212
11,1.4174882135391236,724.3404914008247
12,1.4175426549911498,724.3288285997179
13,1.4172992935180664,724.1671430799696
14,1.4226495580673217,724.5650922987196
15,1.4177972164154053,724.316150241428
16,1.417402792930603,724.4388309054905
17,1.4177720041275024,725.1009809705946
18,1.4164305019378662,723.7222188313802
