City,URL,Latitude,Longitude,Timezone,Error,Weather Report?
guateque,https://wetter.com/kolumbien/guateque/CO3681356.html,5.0062,-73.4727,America/Bogota,,True
guayata,https://wetter.com/kolumbien/guayata/CO3681255.html,4.9642,-73.4875,America/Bogota,,True
villanueva,https://wetter.com/kolumbien/villanueva/CO3665935.html,10.4436,-75.2731,America/Bogota,,True
aquitania,https://wetter.com/kolumbien/aquitania/CO3689771.html,5.5186,-72.8839,America/Bogota,,True
firavitoba,https://wetter.com/kolumbien/firavitoba/CO3682465.html,5.6689,-72.9929,America/Bogota,,True
turbaco,https://wetter.com/kolumbien/turbaco/CO3666577.html,10.3294,-75.4114,America/Bogota,,True
san-jacinto,https://wetter.com/kolumbien/san-jacinto/CO3669736.html,9.8277,-75.1217,America/Bogota,,True
zambrano,https://wetter.com/kolumbien/zambrano/CO3665616.html,9.7474,-74.8157,America/Bogota,,True
garagoa,https://wetter.com/kolumbien/garagoa/CO3682160.html,5.0824,-73.3633,America/Bogota,,True
belen,https://wetter.com/kolumbien/belen/CO3689003.html,5.9889,-72.9125,America/Bogota,,True
nobsa,https://wetter.com/kolumbien/nobsa/CO3673829.html,5.7698,-72.941,America/Bogota,,True
el-cocuy,https://wetter.com/kolumbien/el-cocuy/CO3684510.html,6.4115,-72.4488,America/Bogota,,True
mongui,https://wetter.com/kolumbien/mongui/CO3674576.html,5.7215,-72.8491,America/Bogota,,True
miraflores,https://wetter.com/kolumbien/miraflores/CO3674735.html,5.1961,-73.145,America/Bogota,,True
chita,https://wetter.com/kolumbien/chita/CO3686464.html,6.1905,-72.4759,America/Bogota,,True
mongua,https://wetter.com/kolumbien/mongua/CO3674580.html,5.7508,-72.8034,America/Bogota,,True
muzo,https://wetter.com/kolumbien/muzo/CO3674121.html,5.5353,-74.1078,America/Bogota,,True
chiquinquira,https://wetter.com/kolumbien/chiquinquira/CO3686513.html,5.6164,-73.8175,America/Bogota,,True
santa-rosa-del-sur,https://wetter.com/kolumbien/santa-rosa-del-sur/CO3792379.html,7.9644,-74.0544,America/Bogota,,True
pesca,https://wetter.com/kolumbien/pesca/CO3672428.html,5.55,-73.05,America/Bogota,,True
gueican,https://wetter.com/kolumbien/gueican/CO3681222.html,6.4655,-72.4154,America/Bogota,,True
